"ext_pois.N","ext_pois.theta"
13650.0844847249,0.861396540524003
12632.5949750707,0.850943108852817
13271.3764116452,0.859115410312569
12521.3300794906,0.850745159800342
12790.7261614621,0.853782556388998
12594.7002853798,0.854249664110781
13274.201017626,0.860169656355747
14038.2850150993,0.86582112199119
13223.1292014264,0.852556065032545
12622.8019326197,0.852507076012966
13791.3593070196,0.860955517413939
12847.3895601692,0.855175537789631
13402.4434661069,0.861636950375021
14153.107399764,0.86845338394182
12471.5402994864,0.850555622291764
15545.2049050514,0.874537311427317
14278.3966043084,0.867651814937809
13641.1467175098,0.858915403154364
13293.2480275793,0.856940698296039
12848.1900490691,0.857293482066468
12610.2303808962,0.85099569177832
12270.4201471321,0.855350166151362
14639.1348598631,0.872080143200487
12553.2994660087,0.85150877738927
13435.3418932786,0.860504418243257
13720.2585752909,0.863878781147943
13386.3976571855,0.860055721602326
14238.2682555538,0.871223863281785
12165.0227238212,0.847218010904138
12788.7909392668,0.852323367333675
13867.1358035124,0.863110083676606
13354.7473980169,0.859672986406409
12858.9837430089,0.850851853188567
13486.1242997474,0.864602932635026
12660.3562775038,0.850901358680381
14033.8796692667,0.862448796758662
12934.502190678,0.852484468226581
12530.080188863,0.852119851134614
13408.7619719967,0.859254061041262
15003.0874644202,0.878853609129384
14011.6395860476,0.867768016023979
12864.6174550306,0.854923958931939
12506.9291520444,0.850192444211664
13797.0799262761,0.865186894291001
12827.4449179699,0.859118474624982
15253.9340993358,0.87686808491118
14999.1485380863,0.871145781428981
15746.3867219293,0.874606110396535
12804.2728388324,0.853251402549946
12875.9845901884,0.852463789007059
13797.0790068529,0.86337936130488
13581.7166997257,0.854413756178181
12460.4877113485,0.852845950383907
14000.1593784623,0.866546652980687
13566.5125929421,0.859559716584184
14133.2756064855,0.871327496278456
13706.5719766402,0.863070716495798
13150.918548037,0.857258592429482
12941.2416838214,0.856610313024161
12812.7375113616,0.860143907040811
12449.5618831576,0.856262393561199
13112.4786925702,0.863307810724581
13388.3979055322,0.859755890725238
14441.0009747957,0.87004046213594
13539.5104425324,0.865537731691773
13111.7432331379,0.854353125626004
12994.5849340346,0.852965983462782
13299.3505642354,0.858589616612782
13799.9195105605,0.861103215049968
13591.1379697457,0.861943324030952
14090.8198414692,0.866070059930814
14777.568024248,0.874480871350343
13558.0859991695,0.856078360685654
13378.9088397633,0.856907334267242
14843.9437741459,0.869104762511972
13784.540787197,0.86051634472651
13541.0863103831,0.860354304360047
12737.9872103391,0.85369935923615
13254.7324734668,0.86130479014649
14393.1097110153,0.869695286413144
13578.5159291977,0.856318601110367
12865.4662170065,0.855710599165647
12240.648691165,0.850038017561155
12496.5045006701,0.843685496243551
15676.0824220407,0.880732381764692
13421.5820547734,0.867094834141358
13747.6115141389,0.867198899384428
14405.0103318941,0.873133234477612
14115.3327503059,0.862017848078791
13634.0789024701,0.862580854843383
13062.7466182612,0.856110668069171
12678.724178313,0.853780362586229
13345.2951010069,0.859953515512509
15363.3271833911,0.878862244793861
14873.5986953141,0.870960254185214
13026.6705190646,0.851954945189488
14225.5285570248,0.866640604699962
13672.4252376064,0.862779546883616
14759.1467486117,0.872784489261104
14055.6759765083,0.855756045026513
13449.5750049006,0.855257770617246
12201.2788082624,0.844986099071007
14849.3842045963,0.871412710006355
14045.1249644482,0.86326273783526
12731.2340143617,0.854922265895167
13759.9597304655,0.866187612884924
12491.7645886557,0.849477162524406
13373.3713597449,0.860682690966265
13561.9978499428,0.863063943869455
13426.0595800116,0.860403466842384
16089.2689109531,0.876458744170355
13425.8999649052,0.857149897247482
13551.9709727919,0.861827242165302
15389.6549586867,0.875279539233696
12803.2464572592,0.855860874908907
12616.228929732,0.84977703243409
15718.6605189063,0.876262505275887
13496.7508359934,0.859679439800273
13265.9726033234,0.861515484142324
13099.2184510279,0.859025843723439
14568.9385605487,0.867743898335154
13533.3541700771,0.866007204796352
12616.9989870991,0.852419868839535
11883.3868087203,0.849698048464178
13402.1599785606,0.861614137598929
13838.4996875043,0.862268907175338
13198.3616710335,0.857563735771328
14084.3291550286,0.865615865848655
13348.3472131912,0.857850734231913
12977.9724437226,0.854931085799152
14670.2787368452,0.866806188545239
12812.9175169261,0.856454005648613
14386.7212044536,0.865603920827098
13047.4807707715,0.860226862221494
12431.1708519176,0.844995144703746
12930.2013847937,0.857568661675765
14346.6042031083,0.86645458239561
12094.6925531447,0.849087566557492
12443.8789797315,0.846631101425159
13787.2289579782,0.861008688082617
13291.1097770688,0.85932770762366
13967.4791402969,0.867440599329122
14683.7277407686,0.866589901148698
14411.813232484,0.869799272542816
13109.6921293044,0.862826380923845
15035.0903852443,0.877066913874811
12995.8897087841,0.855301420054082
13109.0174168209,0.850054637007763
12749.5328587078,0.850690076260017
12770.1753523235,0.850192525221395
13932.5942105614,0.86153195844672
14285.5640115093,0.865010339217058
14458.9410472567,0.865457397870252
14543.2942753003,0.866927863185372
13740.1767958122,0.861853802610542
13014.5786199225,0.860024226199204
12163.653213545,0.845936105412898
15277.0980986136,0.869830947669139
12727.2791750192,0.851092721893062
15481.7163744562,0.876482926855189
12329.6554777539,0.845142917210839
13864.5134376226,0.862288247138823
13310.4803936849,0.857170399256797
12740.8925740399,0.85505976934055
15115.911711977,0.875473545136108
13551.6819394878,0.867293059624122
12441.904082952,0.851122492623009
13197.3578624427,0.854765173186172
13970.8135936608,0.865467477963496
13534.66248136,0.861343836062781
12312.4854826795,0.849767624891052
13766.0943714427,0.865611544004496
14400.0331703592,0.861505843981031
13504.2471600837,0.857591967313748
15743.6822121633,0.878384743375167
13401.9513474148,0.859068105552972
13614.1608244826,0.860861745278414
13399.3205307286,0.866023717391323
12901.9432324991,0.857298556557228
13893.5867224093,0.863898596107117
13589.8898875544,0.862755484453566
12485.7959140662,0.847270286224311
13571.5160290123,0.860414226063844
14494.3482725114,0.868682522036576
13538.2455701393,0.866557502859485
13190.5041101911,0.862782665423218
13949.3489522546,0.863873590283894
13342.819803338,0.857780171794068
13292.2457529708,0.862288400574021
14091.7958257693,0.865492724427391
13793.1620937583,0.863641826457475
13576.2516281041,0.8630326840459
13413.4779801742,0.859007755867466
13129.1140046509,0.854496972248964
12818.0853099543,0.849625968227047
14045.3812692451,0.864558146206791
14084.6031004006,0.870319834109255
13799.2893631061,0.863373312235203
15504.1076942722,0.878191288558621
12774.6602625422,0.854630553662195
14313.6005763712,0.870315846461357
13993.7544014558,0.870970869485803
12780.6808891522,0.854417676788181
13577.9860813364,0.862156830950492
13005.6636534411,0.860389244778202
12600.2907069511,0.855320479437219
14019.1621169615,0.86564218937309
13997.9523845028,0.865474717938486
12914.4959555982,0.854683335969858
13555.0828739457,0.863358298040332
13021.5999970876,0.856653806688012
14613.8206073395,0.870165070769584
12405.261539684,0.846195611238583
